azimuth_deg,elevation_deg,element_index,amplitude,phase_deg
-180.0,30.0,4,0.78445,-39.27813
-180.0,30.0,5,0.82156,-32.7029
-180.0,30.0,6,0.71356,-39.63646
-180.0,35.0,0,0.80219,10.95541
-180.0,35.0,1,0.89684,4.21353
-180.0,35.0,2,0.81437,-17.06809
-180.0,35.0,3,0.88154,-15.30657
-180.0,35.0,4,0.78881,-40.0479
-180.0,35.0,5,0.83419,-33.22545
-180.0,35.0,6,0.74928,-36.7306
-180.0,40.0,0,0.83602,10.99002
-180.0,40.0,1,0.92372,6.27554
-180.0,40.0,2,0.83806,-18.14839
-180.0,40.0,3,0.89387,-14.85992
-180.0,40.0,4,0.79841,-41.34372
-180.0,40.0,5,0.86351,-32.59546
-180.0,40.0,6,0.78167,-38.06104
-180.0,45.0,0,0.86302,10.25544
-180.0,45.0,1,0.93551,2.77491
-180.0,45.0,2,0.84072,-20.95502
-180.0,45.0,3,0.91263,-15.09067
-180.0,45.0,4,0.82158,-43.29283
-180.0,45.0,5,0.89597,-33.55993
-180.0,45.0,6,0.83845,-37.1114
-180.0,50.0,0,0.88193,9.60325
-180.0,50.0,1,0.94281,3.30787
-180.0,50.0,2,0.85897,-19.84975
-180.0,50.0,3,0.91971,-15.65634
-180.0,50.0,4,0.84468,-43.50021
-180.0,50.0,5,0.94059,-31.15642
-180.0,50.0,6,0.87127,-36.90676
-180.0,55.0,0,0.90825,9.58284
-180.0,55.0,1,0.96367,2.6619
-180.0,55.0,2,0.86218,-22.4941
-180.0,55.0,3,0.93167,-17.17094
-180.0,55.0,4,0.88731,-42.09895
-180.0,55.0,5,0.98444,-32.76445
-180.0,55.0,6,0.91363,-37.78908
-180.0,60.0,0,0.92665,7.97475
-180.0,60.0,1,0.976,3.3192
-180.0,60.0,2,0.87796,-21.00889
-180.0,60.0,3,0.9638,-16.96091
-180.0,60.0,4,0.92786,-42.57203
-180.0,60.0,5,1.02804,-32.41518
-180.0,60.0,6,0.93424,-36.58176
-180.0,65.0,0,0.94002,5.33513
-180.0,65.0,1,0.98407,2.3174
-180.0,65.0,2,0.87734,-20.93109
-180.0,65.0,3,0.98883,-17.65418
-180.0,65.0,4,0.95713,-42.09591
-180.0,65.0,5,1.04349,-33.107
-180.0,65.0,6,0.92734,-35.30846
-180.0,70.0,0,0.94766,6.92637
-180.0,70.0,1,0.98105,0.1747
-180.0,70.0,2,0.88499,-24.59388
-180.0,70.0,3,1.02261,-17.56632
-180.0,70.0,4,0.98998,-43.48099
-180.0,70.0,5,1.05444,-31.98493
-180.0,70.0,6,0.91674,-34.99821
-180.0,75.0,0,0.94302,7.55537
-180.0,75.0,1,0.9819,-1.30102
-180.0,75.0,2,0.90958,-25.34873
-180.0,75.0,3,1.04394,-19.12497
-180.0,75.0,4,1.0113,-43.19336
-180.0,75.0,5,1.03848,-33.55171
-180.0,75.0,6,0.89749,-33.66814
-180.0,80.0,0,0.94158,6.43898
-180.0,80.0,1,0.98413,-0.64316
-180.0,80.0,2,0.92398,-25.15292
-180.0,80.0,3,1.06514,-19.22618
-180.0,80.0,4,1.01693,-43.67262
-180.0,80.0,5,1.03043,-32.06539
-180.0,80.0,6,0.89865,-34.001
-180.0,85.0,0,0.94338,6.25181
-180.0,85.0,1,0.99415,-0.59594
-180.0,85.0,2,0.94796,-23.57863
-180.0,85.0,3,1.0887,-18.83217
-180.0,85.0,4,0.99433,-44.19801
-180.0,85.0,5,1.00663,-30.19973
-180.0,85.0,6,0.92835,-34.31061
-180.0,90.0,0,0.94266,3.90155
-180.0,90.0,1,0.98441,-2.09343
-180.0,90.0,2,0.94865,-26.45278
-180.0,90.0,3,1.10236,-20.72484
-180.0,90.0,4,0.98009,-45.11592
-180.0,90.0,5,0.99622,-29.98215
-180.0,90.0,6,0.94479,-32.6621
-180.0,95.0,0,0.92976,2.52463
-180.0,95.0,1,0.99079,-2.93815
-180.0,95.0,2,0.97831,-26.51227
-180.0,95.0,3,1.08191,-18.5775
-180.0,95.0,4,0.96472,-44.65547
-180.0,95.0,5,1.00904,-29.40589
-180.0,95.0,6,0.97902,-31.31616
-180.0,100.0,0,0.91376,1.81614
-180.0,100.0,1,0.97893,-4.38291
-180.0,100.0,2,0.98978,-27.25287
-180.0,100.0,3,1.07382,-20.73735
-180.0,100.0,4,0.9342,-43.9842
-180.0,100.0,5,1.02086,-30.48236
-180.0,100.0,6,0.98013,-29.93233
-180.0,105.0,0,0.89817,-0.05966
-180.0,105.0,1,0.98553,-5.10867
-180.0,105.0,2,0.98036,-29.87738
-180.0,105.0,3,1.04769,-20.5281
-180.0,105.0,4,0.92814,-43.75763
-180.0,105.0,5,1.03795,-28.86379
-180.0,105.0,6,0.96771,-30.49068
-180.0,110.0,0,0.88739,1.77517
-180.0,110.0,1,0.97028,-7.21775
-180.0,110.0,2,0.96674,-29.35941
-180.0,110.0,3,1.01554,-20.92744
-180.0,110.0,4,0.92483,-44.0127
-180.0,110.0,5,1.04229,-28.67328
-180.0,110.0,6,0.93355,-29.08321
-180.0,115.0,0,0.87353,-1.12924
-180.0,115.0,1,0.97331,-4.9043
-180.0,115.0,2,0.96427,-29.01009
-180.0,115.0,3,0.98994,-20.58279
-180.0,115.0,4,0.92668,-42.04722
-180.0,115.0,5,1.03922,-27.06965
-180.0,115.0,6,0.89914,-29.39647
-180.0,120.0,0,0.84724,-0.08886
-180.0,120.0,1,0.97957,-5.23487
-180.0,120.0,2,0.93842,-30.57966
-180.0,120.0,3,0.96379,-19.19686
-180.0,120.0,4,0.92939,-41.19763
-180.0,120.0,5,1.03049,-27.81818
-180.0,120.0,6,0.85553,-28.53318
-180.0,125.0,0,0.82849,-1.71043
-180.0,125.0,1,0.97312,-7.47679
-180.0,125.0,2,0.92099,-31.01369
-180.0,125.0,3,0.94734,-21.33068
-180.0,125.0,4,0.93351,-42.11746
-180.0,125.0,5,0.98628,-26.28963
-180.0,125.0,6,0.84086,-26.19955
-180.0,130.0,0,0.80596,-2.96989
-180.0,130.0,1,0.95761,-9.82291
-180.0,130.0,2,0.87644,-32.10671
-180.0,130.0,3,0.91886,-18.18075
-180.0,130.0,4,0.92477,-41.54576
-180.0,130.0,5,0.93593,-24.60405
-180.0,130.0,6,0.82833,-27.7238
-180.0,135.0,0,0.77773,-4.76246
-180.0,135.0,1,0.93602,-8.43784
-180.0,135.0,2,0.8432,-32.21169
-180.0,135.0,3,0.90186,-21.36789
-180.0,135.0,4,0.8968,-41.64201
-180.0,135.0,5,0.90329,-25.10407
-180.0,135.0,6,0.83572,-24.41691
-180.0,140.0,0,0.7558,-3.96036
-180.0,140.0,1,0.92446,-9.44471
-180.0,140.0,2,0.81428,-30.62332
-180.0,140.0,3,0.89229,-19.35333
-180.0,140.0,4,0.88065,-38.553
-180.0,140.0,5,0.85533,-24.8535
-180.0,140.0,6,0.82817,-25.12793
-180.0,145.0,0,0.73378,-4.41447
-180.0,145.0,1,0.88672,-10.19401
-180.0,145.0,2,0.75819,-30.35111
-180.0,145.0,3,0.88749,-20.49215
-180.0,145.0,4,0.82718,-39.87073
-180.0,145.0,5,0.83513,-24.7878
-180.0,145.0,6,0.8132,-24.34506
-180.0,150.0,0,0.71149,-3.59753
-180.0,150.0,1,0.8701,-11.86741
-180.0,150.0,2,0.72573,-31.97175
-180.0,150.0,3,0.8723,-20.48757
-180.0,150.0,4,0.77815,-38.2679
-180.0,150.0,5,0.8226,-22.42691
-180.0,150.0,6,0.79097,-22.74857
-180.0,155.0,0,0.66934,-5.78626
-180.0,155.0,1,0.83623,-11.71616
-180.0,155.0,2,0.69719,-32.1066
-180.0,155.0,3,0.85218,-19.69435
-180.0,155.0,4,0.73581,-37.91862
-180.0,155.0,5,0.81371,-22.9076
-180.0,155.0,6,0.7399,-23.17648
-180.0,160.0,0,0.65565,-6.27423
-180.0,160.0,1,0.80761,-9.59093
-180.0,160.0,2,0.65156,-30.66286
-180.0,160.0,3,0.82689,-18.1183
-180.0,160.0,4,0.68766,-36.71558
-180.0,160.0,5,0.79843,-20.77506
-180.0,160.0,6,0.68082,-22.54562
-180.0,165.0,0,0.62393,-9.01087
-180.0,165.0,1,0.76736,-13.35845
-180.0,165.0,2,0.62718,-31.08267
-180.0,165.0,3,0.79275,-15.68534
-180.0,165.0,4,0.6513,-37.09823
-180.0,165.0,5,0.79296,-21.03409
-180.0,165.0,6,0.60953,-22.15393
-180.0,170.0,0,0.5968,-8.09722
-180.0,170.0,1,0.7084,-11.52384
-180.0,170.0,2,0.60241,-30.08802
-180.0,170.0,3,0.74818,-16.60872
-180.0,170.0,4,0.61764,-36.46122
-180.0,170.0,5,0.75427,-18.79822
-180.0,170.0,6,0.58372,-18.71509
-180.0,175.0,0,0.56304,-9.27727
-180.0,175.0,1,0.67111,-13.09561
-180.0,175.0,2,0.58251,-30.23366
-180.0,175.0,3,0.70842,-15.54202
-180.0,175.0,4,0.59476,-35.32642
-180.0,175.0,5,0.71381,-16.04124
-180.0,175.0,6,0.55862,-20.26433
-180.0,180.0,0,0.53788,-9.42724
-180.0,180.0,1,0.63566,-11.31996
-180.0,180.0,2,0.56218,-30.5438
-180.0,180.0,3,0.65084,-16.61628
-180.0,180.0,4,0.58035,-33.77797
-180.0,180.0,5,0.64263,-19.26366
-180.0,180.0,6,0.54827,-19.02183
-175.0,0.0,0,0.53458,9.64838
-175.0,0.0,1,0.62382,7.42497
-175.0,0.0,2,0.5606,-14.63021
-175.0,0.0,3,0.64351,-7.91075
-175.0,0.0,4,0.58663,-36.67326
-175.0,0.0,5,0.63313,-31.2784
-175.0,0.0,6,0.55643,-37.79877
-175.0,5.0,0,0.58027,8.02074
-175.0,5.0,1,0.66331,7.88431
-175.0,5.0,2,0.6069,-15.16479
-175.0,5.0,3,0.69541,-10.25869
-175.0,5.0,4,0.63962,-38.99201
-175.0,5.0,5,0.68967,-30.10176
-175.0,5.0,6,0.6249,-40.46722
-175.0,10.0,0,0.61666,8.3715
-175.0,10.0,1,0.71731,8.04119
-175.0,10.0,2,0.65883,-17.5991
-175.0,10.0,3,0.74676,-9.88097
-175.0,10.0,4,0.68748,-36.56143
-175.0,10.0,5,0.73575,-30.34378
-175.0,10.0,6,0.68146,-40.0349
-175.0,15.0,0,0.66214,10.13357
-175.0,15.0,1,0.77696,4.87479
-175.0,15.0,2,0.70304,-16.33334
-175.0,15.0,3,0.78643,-12.35632
-175.0,15.0,4,0.72652,-39.45818
-175.0,15.0,5,0.76778,-30.31792
-175.0,15.0,6,0.69348,-39.15841
-175.0,20.0,0,0.69944,8.94299
-175.0,20.0,1,0.801,5.3382
-175.0,20.0,2,0.73706,-15.68703
-175.0,20.0,3,0.82786,-12.6345
-175.0,20.0,4,0.76161,-40.57829
-175.0,20.0,5,0.79561,-33.64599
-175.0,20.0,6,0.70562,-39.51153
-175.0,25.0,0,0.74611,9.32811
-175.0,25.0,1,0.83951,5.6384
-175.0,25.0,2,0.77232,-17.80217
-175.0,25.0,3,0.85202,-12.99812
-175.0,25.0,4,0.77009,-41.21735
-175.0,25.0,5,0.81057,-31.07503
-175.0,25.0,6,0.71901,-40.14605
-175.0,30.0,0,0.78275,9.10659
-175.0,30.0,1,0.86872,4.85873
-175.0,30.0,2,0.79482,-17.28632
-175.0,30.0,3,0.87479,-15.02105
-175.0,30.0,4,0.78467,-40.69861
-175.0,30.0,5,0.81834,-35.12983
-175.0,30.0,6,0.73086,-36.63228
-175.0,35.0,0,0.80558,8.36497
-175.0,35.0,1,0.90337,4.52296
-175.0,35.0,2,0.81046,-21.0584
-175.0,35.0,3,0.87407,-16.1655
-175.0,35.0,4,0.79495,-42.06792
-175.0,35.0,5,0.82527,-32.16388
-175.0,35.0,6,0.75976,-37.84072
-175.0,40.0,0,0.82733,9.37647
-175.0,40.0,1,0.92018,4.59235
-175.0,40.0,2,0.83051,-20.42461
-175.0,40.0,3,0.88906,-15.52842
-175.0,40.0,4,0.81441,-42.69175
-175.0,40.0,5,0.85042,-32.7514
-175.0,40.0,6,0.79022,-39.95259
-175.0,45.0,0,0.86473,4.66876
-175.0,45.0,1,0.9326,2.21872
-175.0,45.0,2,0.84695,-20.70416
-175.0,45.0,3,0.905,-15.63149
-175.0,45.0,4,0.82656,-41.25455
-175.0,45.0,5,0.8851,-31.88845
-175.0,45.0,6,0.83241,-38.33678
-175.0,50.0,0,0.88307,6.99554
-175.0,50.0,1,0.94344,2.72694
-175.0,50.0,2,0.85966,-21.61147
-175.0,50.0,3,0.91255,-15.46546
-175.0,50.0,4,0.85458,-41.94764
-175.0,50.0,5,0.93106,-33.01204
-175.0,50.0,6,0.89213,-36.98411
-175.0,55.0,0,0.91097,7.87948
-175.0,55.0,1,0.97418,2.03189
-175.0,55.0,2,0.86726,-22.774
-175.0,55.0,3,0.94293,-18.02458
-175.0,55.0,4,0.89004,-43.14091
-175.0,55.0,5,0.9681,-33.15355
-175.0,55.0,6,0.92753,-37.52478
-175.0,60.0,0,0.91832,6.53084
-175.0,60.0,1,0.97427,0.39031
-175.0,60.0,2,0.87891,-24.65634
-175.0,60.0,3,0.95235,-18.24736
-175.0,60.0,4,0.93408,-45.28188
-175.0,60.0,5,1.01622,-33.09613
-175.0,60.0,6,0.93976,-36.84306
-175.0,65.0,0,0.9324,6.15932
-175.0,65.0,1,0.98383,0.30635
-175.0,65.0,2,0.88328,-23.24377
-175.0,65.0,3,0.99229,-18.80264
-175.0,65.0,4,0.95495,-43.62361
-175.0,65.0,5,1.04807,-32.63877
-175.0,65.0,6,0.9319,-33.70785
-175.0,70.0,0,0.9387,5.0189
-175.0,70.0,1,0.98876,-2.80183
-175.0,70.0,2,0.89914,-24.41777
-175.0,70.0,3,1.01365,-18.66284
-175.0,70.0,4,0.99601,-42.81538
-175.0,70.0,5,1.04772,-33.42943
-175.0,70.0,6,0.9216,-34.41402
-175.0,75.0,0,0.94342,2.99106
-175.0,75.0,1,0.98543,-2.43135
-175.0,75.0,2,0.91048,-26.0368
-175.0,75.0,3,1.04714,-19.05965
-175.0,75.0,4,1.01539,-42.75592
-175.0,75.0,5,1.02185,-32.13959
-175.0,75.0,6,0.91353,-33.63924
-175.0,80.0,0,0.93975,4.96228
-175.0,80.0,1,0.98392,-2.73178
-175.0,80.0,2,0.93394,-26.0073
-175.0,80.0,3,1.06258,-20.79129
-175.0,80.0,4,1.01604,-43.41076
-175.0,80.0,5,1.01676,-31.72165
-175.0,80.0,6,0.91191,-34.82305
-175.0,85.0,0,0.95438,0.94301
-175.0,85.0,1,0.99244,-3.55061
-175.0,85.0,2,0.95066,-26.83772
-175.0,85.0,3,1.08787,-20.69919
-175.0,85.0,4,1.0061,-45.94099
-175.0,85.0,5,0.99792,-32.16115
-175.0,85.0,6,0.93287,-31.53749
-175.0,90.0,0,0.94078,2.6245
-175.0,90.0,1,0.9881,-4.25428
-175.0,90.0,2,0.96,-31.0019
-175.0,90.0,3,1.08284,-21.24644
-175.0,90.0,4,0.98643,-43.91452
-175.0,90.0,5,0.99136,-29.84335
-175.0,90.0,6,0.96401,-32.43166
-175.0,95.0,0,0.93615,-1.25539
-175.0,95.0,1,0.98755,-5.61628
-175.0,95.0,2,0.98076,-29.61834
-175.0,95.0,3,1.07379,-21.08645
-175.0,95.0,4,0.97261,-43.99694
-175.0,95.0,5,0.99723,-30.48533
-175.0,95.0,6,0.98535,-29.96133
-175.0,100.0,0,0.93035,0.38814
-175.0,100.0,1,0.98791,-4.41218
-175.0,100.0,2,0.98224,-29.59942
-175.0,100.0,3,1.0643,-21.80495
-175.0,100.0,4,0.94618,-43.88748
-175.0,100.0,5,1.01437,-29.63141
-175.0,100.0,6,0.99702,-30.85495
-175.0,105.0,0,0.90568,-0.66492
-175.0,105.0,1,0.9876,-6.94605
-175.0,105.0,2,0.98899,-31.28117
-175.0,105.0,3,1.03348,-20.93765
-175.0,105.0,4,0.93086,-42.01006
-175.0,105.0,5,1.02834,-30.29684
-175.0,105.0,6,0.99291,-29.26797
-175.0,110.0,0,0.88821,-2.4961
-175.0,110.0,1,0.98785,-8.48504
-175.0,110.0,2,0.97934,-29.54697
-175.0,110.0,3,1.00844,-22.13837
-175.0,110.0,4,0.92932,-41.40686
-175.0,110.0,5,1.0432,-28.95097
-175.0,110.0,6,0.95778,-29.21126
-175.0,115.0,0,0.87136,-2.20779
-175.0,115.0,1,0.97584,-5.47312
-175.0,115.0,2,0.97,-30.94825
-175.0,115.0,3,0.98317,-23.00386
-175.0,115.0,4,0.93005,-42.02813
-175.0,115.0,5,1.03239,-28.02389
-175.0,115.0,6,0.91252,-28.08773
-175.0,120.0,0,0.84277,-2.7586
-175.0,120.0,1,0.97676,-8.52579
-175.0,120.0,2,0.93936,-33.69806
-175.0,120.0,3,0.95195,-21.55096
-175.0,120.0,4,0.94246,-39.97211
-175.0,120.0,5,1.01456,-28.5853
-175.0,120.0,6,0.87097,-26.74804
-175.0,125.0,0,0.83251,-4.16222
-175.0,125.0,1,0.97382,-10.82945
-175.0,125.0,2,0.90461,-32.80299
-175.0,125.0,3,0.92841,-19.56023
-175.0,125.0,4,0.93238,-43.3038
-175.0,125.0,5,0.97964,-25.38826
-175.0,125.0,6,0.84941,-26.16587
-175.0,130.0,0,0.8124,-4.56262
-175.0,130.0,1,0.95203,-9.97765
-175.0,130.0,2,0.88681,-31.88046
-175.0,130.0,3,0.9196,-21.09387
-175.0,130.0,4,0.92552,-41.52398
-175.0,130.0,5,0.93452,-26.18904
-175.0,130.0,6,0.84733,-24.30551
-175.0,135.0,0,0.77293,-5.9539
-175.0,135.0,1,0.93648,-11.79865
-175.0,135.0,2,0.84563,-32.63437
-175.0,135.0,3,0.90378,-21.1855
-175.0,135.0,4,0.91033,-41.61713
-175.0,135.0,5,0.88479,-23.39535
-175.0,135.0,6,0.83131,-22.9785
-175.0,140.0,0,0.75515,-5.4932
-175.0,140.0,1,0.90788,-12.13788
-175.0,140.0,2,0.80973,-32.50062
-175.0,140.0,3,0.8949,-22.15308
-175.0,140.0,4,0.87459,-40.90099
-175.0,140.0,5,0.85223,-23.5904
-175.0,140.0,6,0.84307,-24.14125
-175.0,145.0,0,0.73062,-7.35118
-175.0,145.0,1,0.89242,-12.2846
-175.0,145.0,2,0.76505,-33.31741
-175.0,145.0,3,0.87645,-19.51532
-175.0,145.0,4,0.83199,-39.20679
-175.0,145.0,5,0.83198,-22.49562
-175.0,145.0,6,0.82978,-22.05794
-175.0,150.0,0,0.69846,-9.40868
-175.0,150.0,1,0.86711,-12.90852
-175.0,150.0,2,0.72693,-30.96655
-175.0,150.0,3,0.87483,-20.69089
-175.0,150.0,4,0.7869,-39.86099
-175.0,150.0,5,0.81356,-23.75074
-175.0,150.0,6,0.80249,-22.80333
-175.0,155.0,0,0.68143,-10.19468
-175.0,155.0,1,0.84373,-12.48776
-175.0,155.0,2,0.7015,-32.78879
-175.0,155.0,3,0.8401,-21.04493
-175.0,155.0,4,0.72839,-36.67657
-175.0,155.0,5,0.80137,-22.32664
-175.0,155.0,6,0.74656,-21.25234
-175.0,160.0,0,0.65379,-10.06831
-175.0,160.0,1,0.79055,-14.81725
-175.0,160.0,2,0.64848,-31.52829
-175.0,160.0,3,0.82714,-20.19179
-175.0,160.0,4,0.69091,-36.8518
-175.0,160.0,5,0.79767,-20.20408
-175.0,160.0,6,0.6884,-20.69574
-175.0,165.0,0,0.61266,-12.97561
-175.0,165.0,1,0.76723,-13.16496
-175.0,165.0,2,0.61837,-32.52748
-175.0,165.0,3,0.78416,-19.87353
-175.0,165.0,4,0.63613,-35.9962
-175.0,165.0,5,0.77371,-19.08234
-175.0,165.0,6,0.63519,-18.77633
-175.0,170.0,0,0.60426,-10.51708
-175.0,170.0,1,0.71964,-14.65112
-175.0,170.0,2,0.60845,-32.77623
-175.0,170.0,3,0.7406,-17.58369
-175.0,170.0,4,0.62403,-38.67572
-175.0,170.0,5,0.72968,-19.28731
-175.0,170.0,6,0.5842,-18.15279
-175.0,175.0,0,0.56909,-10.79123
-175.0,175.0,1,0.67906,-12.8504
-175.0,175.0,2,0.5819,-31.67668
-175.0,175.0,3,0.69949,-17.38864
-175.0,175.0,4,0.60336,-33.74248
-175.0,175.0,5,0.69255,-18.71407
-175.0,175.0,6,0.57069,-19.87194
-175.0,180.0,0,0.54192,-10.34903
-175.0,180.0,1,0.62613,-15.98825
-175.0,180.0,2,0.56173,-32.53265
-175.0,180.0,3,0.64646,-18.16337
-175.0,180.0,4,0.58611,-35.38237
-175.0,180.0,5,0.63987,-17.65025
-175.0,180.0,6,0.56353,-17.35911
-170.0,0.0,0,0.54024,8.13332
-170.0,0.0,1,0.62523,5.67681
-170.0,0.0,2,0.56701,-15.48995
-170.0,0.0,3,0.62968,-11.02831
-170.0,0.0,4,0.59749,-38.06389
-170.0,0.0,5,0.61592,-30.49097
-170.0,0.0,6,0.58804,-37.70451
-170.0,5.0,0,0.58816,6.89745
-170.0,5.0,1,0.67685,3.361
-170.0,5.0,2,0.61224,-15.21392
-170.0,5.0,3,0.69568,-10.74989
-170.0,5.0,4,0.65431,-37.40216
-170.0,5.0,5,0.66591,-29.36752
-170.0,5.0,6,0.65617,-37.14942
-170.0,10.0,0,0.62001,8.55908
-170.0,10.0,1,0.7148,5.01278
-170.0,10.0,2,0.66131,-17.54325
-170.0,10.0,3,0.73881,-10.91127
-170.0,10.0,4,0.71004,-35.52184
-170.0,10.0,5,0.7156,-30.16458
-170.0,10.0,6,0.69529,-38.12556
-170.0,15.0,0,0.6589,8.67493
-170.0,15.0,1,0.75982,4.87838
-170.0,15.0,2,0.70595,-17.24659
-170.0,15.0,3,0.77597,-12.16997
-170.0,15.0,4,0.75797,-39.74309
-170.0,15.0,5,0.7494,-32.70365
-170.0,15.0,6,0.73212,-37.81677
-170.0,20.0,0,0.70004,6.43641
-170.0,20.0,1,0.79838,3.18786
-170.0,20.0,2,0.75518,-19.14828
-170.0,20.0,3,0.81167,-13.47919
-170.0,20.0,4,0.76418,-41.70412
-170.0,20.0,5,0.77111,-32.03004
-170.0,20.0,6,0.73415,-36.0909
-170.0,25.0,0,0.7433,8.31598
-170.0,25.0,1,0.84036,3.36225
-170.0,25.0,2,0.78913,-19.63872
-170.0,25.0,3,0.82872,-16.54408
-170.0,25.0,4,0.79091,-39.98567
-170.0,25.0,5,0.78331,-30.52971
-170.0,25.0,6,0.74376,-37.08153
-170.0,30.0,0,0.77966,5.67112
-170.0,30.0,1,0.86834,3.30772
-170.0,30.0,2,0.80859,-19.36991
-170.0,30.0,3,0.86132,-15.75791
-170.0,30.0,4,0.80553,-40.36265
-170.0,30.0,5,0.79059,-31.73533
-170.0,30.0,6,0.7591,-36.2652
-170.0,35.0,0,0.80871,6.81096
-170.0,35.0,1,0.89583,2.31812
-170.0,35.0,2,0.82048,-21.75952
-170.0,35.0,3,0.86364,-15.97726
-170.0,35.0,4,0.81468,-41.35926
-170.0,35.0,5,0.80728,-32.7659
-170.0,35.0,6,0.78683,-37.66097
-170.0,40.0,0,0.84161,6.32323
-170.0,40.0,1,0.91476,0.82406
-170.0,40.0,2,0.84292,-22.22906
-170.0,40.0,3,0.88111,-13.46198
-170.0,40.0,4,0.82709,-42.34456
-170.0,40.0,5,0.83176,-33.35124
-170.0,40.0,6,0.82037,-36.44374
-170.0,45.0,0,0.86004,5.41071
-170.0,45.0,1,0.93696,0.89877
-170.0,45.0,2,0.84243,-21.32747
-170.0,45.0,3,0.89047,-16.70804
-170.0,45.0,4,0.83948,-44.20241
-170.0,45.0,5,0.86507,-33.10997
-170.0,45.0,6,0.87596,-37.44183
-170.0,50.0,0,0.88219,5.26177
-170.0,50.0,1,0.95668,0.94518
-170.0,50.0,2,0.86101,-23.6685
-170.0,50.0,3,0.90121,-16.6346
-170.0,50.0,4,0.87929,-42.17483
-170.0,50.0,5,0.90184,-31.89125
-170.0,50.0,6,0.91834,-35.61246
-170.0,55.0,0,0.90868,5.58315
-170.0,55.0,1,0.96381,-1.11384
-170.0,55.0,2,0.86531,-25.94816
-170.0,55.0,3,0.92702,-19.52654
-170.0,55.0,4,0.91278,-44.00577
-170.0,55.0,5,0.95206,-31.74675
-170.0,55.0,6,0.96114,-36.637
-170.0,60.0,0,0.92143,3.74075
-170.0,60.0,1,0.97642,-2.32587
-170.0,60.0,2,0.87802,-25.70549
-170.0,60.0,3,0.95148,-18.36289
-170.0,60.0,4,0.94543,-42.16249
-170.0,60.0,5,0.99345,-33.37445
-170.0,60.0,6,0.96307,-35.64014
-170.0,65.0,0,0.92248,3.28279
-170.0,65.0,1,0.9816,-1.15229
-170.0,65.0,2,0.89392,-28.10504
-170.0,65.0,3,0.97439,-19.14653
-170.0,65.0,4,0.97338,-44.96302
-170.0,65.0,5,1.01574,-32.33918
-170.0,65.0,6,0.9559,-35.09331
-170.0,70.0,0,0.94285,4.49292
-170.0,70.0,1,0.98031,-4.16
-170.0,70.0,2,0.906,-26.84668
-170.0,70.0,3,1.00798,-18.94388
-170.0,70.0,4,1.01188,-45.67775
-170.0,70.0,5,1.01698,-32.12649
-170.0,70.0,6,0.95677,-33.1455
-170.0,75.0,0,0.94388,2.47999
-170.0,75.0,1,0.98973,-4.27366
-170.0,75.0,2,0.92476,-27.76708
-170.0,75.0,3,1.03385,-21.0185
-170.0,75.0,4,1.03209,-41.54232
-170.0,75.0,5,1.00813,-32.9974
-170.0,75.0,6,0.94033,-33.92164
-170.0,80.0,0,0.95041,0.83561
-170.0,80.0,1,0.9986,-4.17714
-170.0,80.0,2,0.94581,-29.36768
-170.0,80.0,3,1.05482,-19.26051
-170.0,80.0,4,1.02191,-44.3192
-170.0,80.0,5,0.98279,-29.94459
-170.0,80.0,6,0.93722,-32.96882
-170.0,85.0,0,0.94572,-1.47773
